cluster,product,source_words,summary_words,compression_ratio
0,"Kindle Voyage E-reader, 6 High-Resolution Display (300 ppi) with Adaptive Built-in Light, PagePress Sensors, Wi-Fi - Includes Special Offers,",1283,30,0.02338269680436477
0,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",2684,48,0.01788375558867362
0,"Kindle Oasis E-reader with Leather Charging Cover - Walnut, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",2735,42,0.015356489945155392
1,AmazonBasics AAA Performance Alkaline Batteries (36 Count),1413,36,0.025477707006369428
1,Amazon Kindle Paperwhite - eBook reader - 4 GB - 6 monochrome Paperwhite - touchscreen - Wi-Fi - black,1058,51,0.048204158790170135
1,Amazon Fire Tv,1371,52,0.03792851932895697
2,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Pink Kid-Proof Case",1157,44,0.03802938634399308
2,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",1342,29,0.021609538002980627
2,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",1181,29,0.024555461473327687
3,Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,703,31,0.044096728307254626
3,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,1379,47,0.0340826686004351
3,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",1347,52,0.038604305864884926
4,"Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Tangerine - with Special Offers",1721,36,0.020918070889018012
4,"All-New Fire HD 8 Tablet with Alexa, 8 HD Display, 16 GB, Marine Blue - with Special Offers",1366,30,0.021961932650073207
4,"Fire Tablet with Alexa, 7 Display, 16 GB, Magenta - with Special Offers",1222,45,0.036824877250409165
5,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",1300,32,0.024615384615384615
5,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",1149,39,0.033942558746736295
5,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Black",1612,35,0.021712158808933003
6,Echo (White),1474,38,0.025780189959294438
6,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",1437,34,0.023660403618649965
6,Amazon - Echo Plus w/ Built-In Hub - Silver,1056,39,0.036931818181818184
